mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,penalty,solver,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0.15019841194152833,0.020734589113524392,0.015558767318725585,0.0007977129004213443,0.03125,l1,liblinear,"{'clf__C': 0.03125, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.805607476635514,0.811214953271028,0.7962616822429907,0.7869158878504673,0.8,0.8,0.008275119110720982,6,0.7976635514018692,0.7976635514018692,0.8004672897196262,0.8065420560747664,0.7995327102803739,0.800373831775701,0.0032696926513151193,0.22388059701492535,0.22900763358778622,0.14173228346456693,0.08064516129032258,0.13008130081300812,0.16106939523412184,0.05720680832319734,54,0.14257425742574256,0.13916500994035785,0.17408123791102514,0.19767441860465118,0.1702127659574468,0.16474153796784471,0.021666961348348196
0.045278167724609374,0.001016008175195871,0.0,0.0,0.03125,l1,lbfgs,"{'clf__C': 0.03125, 'clf__penalty': 'l1', 'clf__solver': 'lbfgs'}",,,,,,,,60,,,,,,,,,,,,,,,57,,,,,,,
0.4781203746795654,0.009578371116221075,0.015759706497192383,0.0011638906322546418,0.03125,l2,liblinear,"{'clf__C': 0.03125, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.8149532710280374,0.805607476635514,0.7869158878504673,0.794392523364486,0.8093457943925234,0.8022429906542057,0.010196771362232427,3,0.8504672897196262,0.8434579439252337,0.8565420560747663,0.8523364485981308,0.8457943925233645,0.8497196261682243,0.004659794714885175,0.40718562874251496,0.3734939759036145,0.2692307692307693,0.2948717948717949,0.3625,0.3414564337497388,0.05133466286396369,49,0.5266272189349112,0.5022288261515602,0.5544267053701016,0.5168195718654434,0.503012048192771,0.5206228741029575,0.01919217789822531
0.2208090305328369,0.016261591251067676,0.015758275985717773,0.000746544301618776,0.03125,l2,lbfgs,"{'clf__C': 0.03125, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.811214953271028,0.8130841121495327,0.7813084112149533,0.7962616822429907,0.8130841121495327,0.8029906542056076,0.012544270456495313,2,0.8509345794392523,0.8373831775700935,0.861214953271028,0.8504672897196262,0.8406542056074766,0.8481308411214954,0.008437135553863443,0.36477987421383645,0.382716049382716,0.2641509433962264,0.2684563758389262,0.35064935064935066,0.32615051869621114,0.049929231105708925,50,0.5188536953242836,0.4646153846153846,0.5573770491803278,0.5092024539877301,0.46467817896389324,0.5029453524143238,0.03518124302073495
0.20006470680236815,0.006358307118620639,0.016156959533691406,0.0013223700772247433,0.0625,l1,liblinear,"{'clf__C': 0.0625, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8074766355140187,0.8093457943925234,0.7906542056074767,0.7850467289719626,0.8074766355140187,0.8,0.010100378382135563,6,0.8042056074766355,0.8065420560747664,0.8079439252336449,0.8084112149532711,0.8032710280373832,0.8060747663551402,0.0020261199428672017,0.2589928057553957,0.2608695652173913,0.16417910447761194,0.09448818897637795,0.20155038759689922,0.19601601040473524,0.06248868178859784,53,0.21388367729831145,0.22471910112359553,0.2458715596330275,0.24074074074074073,0.2071563088512241,0.22647427752937985,0.014930333538228884
0.04607701301574707,0.0035908222657562005,0.0,0.0,0.0625,l1,lbfgs,"{'clf__C': 0.0625, 'clf__penalty': 'l1', 'clf__solver': 'lbfgs'}",,,,,,,,59,,,,,,,,,,,,,,,63,,,,,,,
0.666017723083496,0.015736324067536226,0.016954469680786132,0.0010925804195650438,0.0625,l2,liblinear,"{'clf__C': 0.0625, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.811214953271028,0.8093457943925234,0.7775700934579439,0.7775700934579439,0.8074766355140187,0.7966355140186916,0.015611673284352227,10,0.8598130841121495,0.8593457943925233,0.8705607476635514,0.8602803738317757,0.8537383177570094,0.8607476635514019,0.005449487752191866,0.40935672514619886,0.41379310344827586,0.30409356725146197,0.2958579881656805,0.4180790960451978,0.368236096011363,0.055863272747773154,22,0.576271186440678,0.5706134094151213,0.6125874125874127,0.562225475841874,0.540381791483113,0.5724158551536398,0.023502729553790375
0.26987767219543457,0.013255203725422738,0.016556692123413087,0.001196805787415413,0.0625,l2,lbfgs,"{'clf__C': 0.0625, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.8130841121495327,0.8130841121495327,0.7831775700934579,0.7813084112149533,0.8149532710280374,0.8011214953271029,0.015440655273318409,5,0.861214953271028,0.8537383177570094,0.8710280373831776,0.8630841121495327,0.8579439252336448,0.8614018691588786,0.0057656810524064255,0.4047619047619047,0.41860465116279066,0.30952380952380953,0.2641509433962264,0.4142011834319526,0.3622484984553368,0.06338061260599204,27,0.575107296137339,0.5443959243085881,0.6112676056338028,0.5697503671071953,0.5555555555555556,0.5712153497484962,0.022741975980231196
0.23776369094848632,0.01696751940188873,0.01635599136352539,0.0013522268576973088,0.125,l1,liblinear,"{'clf__C': 0.125, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.811214953271028,0.8074766355140187,0.788785046728972,0.7981308411214953,0.8205607476635514,0.805233644859813,0.010924590053235457,1,0.8219626168224299,0.8242990654205608,0.8303738317757009,0.8266355140186916,0.819158878504673,0.8244859813084112,0.0038488336975652155,0.3221476510067114,0.3087248322147651,0.25165562913907286,0.22857142857142856,0.323943661971831,0.2870086405807618,0.039332637855548004,51,0.3553299492385787,0.37333333333333335,0.40197693574958815,0.36363636363636365,0.3384615384615385,0.3665476240838805,0.021092282223778812
0.05146160125732422,0.002720085846930543,0.0,0.0,0.125,l1,lbfgs,"{'clf__C': 0.125, 'clf__penalty': 'l1', 'clf__solver': 'lbfgs'}",,,,,,,,58,,,,,,,,,,,,,,,65,,,,,,,
0.7850993156433106,0.026094301899016327,0.02074398994445801,0.001934465707493865,0.125,l2,liblinear,"{'clf__C': 0.125, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.811214953271028,0.811214953271028,0.7607476635514019,0.7682242990654206,0.8037383177570093,0.7910280373831775,0.021970370474639397,13,0.8742990654205608,0.8700934579439252,0.8836448598130842,0.8728971962616823,0.8705607476635514,0.8742990654205608,0.004918765370818995,0.42937853107344637,0.435754189944134,0.2808988764044944,0.30337078651685395,0.4385026737967914,0.377581011547144,0.07018994714335332,15,0.6340136054421769,0.6202185792349728,0.6621438263229308,0.6211699164345403,0.6147426981919333,0.6304577251253108,0.01705707398289899
