Result,model_param,Score,type,C,gamma,kernel
0.5614953271028037,0.041570095885706176 / 5.495982227624348,Accuracy,train,0.041570095885706176,5.495982227624348,sigmoid
0.8828971962616823,13979.781391357608 / 3.081554399423535e-05,Accuracy,train,13979.781391357608,3.081554399423535e-05,sigmoid
0.8821495327102804,0.3972420347816968 / 0.0013586225057640856,Accuracy,train,0.3972420347816968,0.0013586225057640856,linear
0.8110280373831775,150.85909795945778 / 0.00017394146271951388,Accuracy,train,150.85909795945778,0.00017394146271951388,sigmoid
0.8202803738317757,0.03755891567371355 / 3.889626431904138,Accuracy,train,0.03755891567371355,3.889626431904138,linear
0.7445794392523364,0.7673073674755138 / 0.0006173851439544532,Accuracy,train,0.7673073674755138,0.0006173851439544532,sigmoid
0.889626168224299,0.16966544784737067 / 0.014712481200273369,Accuracy,train,0.16966544784737067,0.014712481200273369,poly
0.877196261682243,0.3456282556850075 / 0.004013539847058934,Accuracy,train,0.3456282556850075,0.004013539847058934,linear
0.9544859813084112,0.558191963005407 / 0.03636276966990145,Accuracy,train,0.558191963005407,0.03636276966990145,rbf
0.8014018691588785,6.837864307404742 / 0.0009012922288393929,Accuracy,train,6.837864307404742,0.0009012922288393929,rbf
0.5398130841121496,106.52315939359099 / 5.185904111727016,Accuracy,train,106.52315939359099,5.185904111727016,sigmoid
0.8878504672897195,1393.8845769544196 / 0.00036416559975302514,Accuracy,train,1393.8845769544196,0.00036416559975302514,sigmoid
0.6148598130841121,11796.061022041566 / 0.10290510496634826,Accuracy,train,11796.061022041566,0.10290510496634826,sigmoid
0.8515887850467291,0.11729409824207805 / 0.003117766371252671,Accuracy,train,0.11729409824207805,0.003117766371252671,linear
0.5657943925233646,2.835624382750608 / 0.2741260256843372,Accuracy,train,2.835624382750608,0.2741260256843372,sigmoid
0.7058878504672897,0.04831395320174794 / 0.08569693417298632,Accuracy,train,0.04831395320174794,0.08569693417298632,sigmoid
0.9243925233644859,1.7351123219974762 / 0.00022810460150524941,Accuracy,train,1.7351123219974762,0.00022810460150524941,linear
0.9890654205607475,179.40558127071193 / 0.0012202617382550513,Accuracy,train,179.40558127071193,0.0012202617382550513,rbf
0.5409345794392524,5515.2547253515795 / 0.6906838447441247,Accuracy,train,5515.2547253515795,0.6906838447441247,sigmoid
0.5457943925233645,10.057493896997705 / 1.8648307002893396,Accuracy,train,10.057493896997705,1.8648307002893396,sigmoid
0.962336448598131,8.43696093304184 / 6.857586535130328e-05,Accuracy,train,8.43696093304184,6.857586535130328e-05,linear
0.8514953271028037,606.9407173135796 / 0.0001936265943879373,Accuracy,train,606.9407173135796,0.0001936265943879373,sigmoid
0.8298130841121495,0.052111259953033465 / 0.061305401875442866,Accuracy,train,0.052111259953033465,0.061305401875442866,linear
0.7453271028037383,9.322651043209696 / 4.609319159830138e-05,Accuracy,train,9.322651043209696,4.609319159830138e-05,sigmoid
0.951214953271028,5.252808979368479 / 0.0006261860064530695,Accuracy,train,5.252808979368479,0.0006261860064530695,linear
0.9507476635514018,5.118292704229534 / 0.08141875384420207,Accuracy,train,5.118292704229534,0.08141875384420207,linear
0.5461682242990654,7.870683075974006 / 0.8098764371698711,Accuracy,train,7.870683075974006,0.8098764371698711,sigmoid
0.5427102803738317,483.1261509745151 / 1.3664744515981921,Accuracy,train,483.1261509745151,1.3664744515981921,sigmoid
0.5762616822429907,0.3504616723586149 / 0.16920912610872493,Accuracy,train,0.3504616723586149,0.16920912610872493,sigmoid
0.8730841121495327,40.300276316252884 / 0.0007904299027239129,Accuracy,train,40.300276316252884,0.0007904299027239129,rbf
0.8032710280373833,229.22695999821113 / 8.718982869645133e-05,Accuracy,train,229.22695999821113,8.718982869645133e-05,sigmoid
0.5853271028037383,62.886384444212744 / 0.1712426009382245,Accuracy,train,62.886384444212744,0.1712426009382245,sigmoid
0.959158878504673,30344.538360173425 / 0.00027403628412970725,Accuracy,train,30344.538360173425,0.00027403628412970725,sigmoid
0.7516822429906542,0.8379765342141627 / 0.0017690549378911677,Accuracy,train,0.8379765342141627,0.0017690549378911677,sigmoid
0.651588785046729,284.49467636943933 / 0.03663978530473818,Accuracy,train,284.49467636943933,0.03663978530473818,sigmoid
0.9895327102803739,36.158966470711896 / 0.08561379734302645,Accuracy,train,36.158966470711896,0.08561379734302645,linear
0.6520560747663551,1905.859524452308 / 0.016147646012995946,Accuracy,train,1905.859524452308,0.016147646012995946,sigmoid
0.5463551401869159,332.7929805023508 / 1.469185101409661,Accuracy,train,332.7929805023508,1.469185101409661,sigmoid
0.9057943925233645,698.9484790478427 / 0.0010137393855112675,Accuracy,train,698.9484790478427,0.0010137393855112675,poly
0.837570093457944,1324.3606050048488 / 5.257978949239172e-05,Accuracy,train,1324.3606050048488,5.257978949239172e-05,sigmoid
0.5371028037383179,87.17541267589165 / 6.259157618988172,Accuracy,train,87.17541267589165,6.259157618988172,sigmoid
0.9150467289719627,1.2919024498440428 / 0.01300344536014019,Accuracy,train,1.2919024498440428,0.01300344536014019,linear
0.9107476635514018,1.0594187750039399 / 0.001215049320697746,Accuracy,train,1.0594187750039399,0.001215049320697746,linear
0.8418691588785047,0.08355200967218321 / 0.004310613385602056,Accuracy,train,0.08355200967218321,0.004310613385602056,linear
0.8872897196261682,7132.07834901615 / 0.0020700951881737367,Accuracy,train,7132.07834901615,0.0020700951881737367,sigmoid
0.826822429906542,0.04769576554035747 / 4.863206566629564e-05,Accuracy,train,0.04769576554035747,4.863206566629564e-05,linear
