mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,gamma,kernel,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
1.6380719661712646,0.22016128065130638,0.4567971706390381,0.06139133205129887,0.03125,3.0517578125e-05,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 3.0517578125e-05, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.7251307487487793,0.0642898834258004,0.38075785636901854,0.04714959250135188,0.03125,6.103515625e-05,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 6.103515625e-05, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.8219693183898926,0.2555353249074128,0.47739009857177733,0.07038086372362241,0.03125,0.0001220703125,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.0001220703125, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.841064739227295,0.15838558621511822,0.44817724227905276,0.03778187614294736,0.03125,0.000244140625,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.000244140625, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.6447350025177,0.1752712776749324,0.44468226432800295,0.08623162441284471,0.03125,0.00048828125,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.00048828125, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.770125389099121,0.08751084937862973,0.41483516693115235,0.026175693157858018,0.03125,0.0009765625,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.0009765625, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,379,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,371,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.6888040542602538,0.08418798424057802,0.38913307189941404,0.04110961913571798,0.03125,0.001953125,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.001953125, 'clf__kernel': 'sigmoid'}",0.7820895522388059,0.7850746268656716,0.2208955223880597,0.2208955223880597,0.218562874251497,0.44550361962641877,0.2760428429035713,372,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.027027027027027025,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.22189315343349572,0.1703596392931126,364,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
1.8455350399017334,0.3468347925212702,0.489545202255249,0.09587419413677573,0.03125,0.00390625,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.00390625, 'clf__kernel': 'sigmoid'}",0.7910447761194029,0.7910447761194029,0.7820895522388059,0.7791044776119403,0.7784431137724551,0.7843453391724016,0.005606360317909791,8,0.7856609410007468,0.7864077669902912,0.7886482449589246,0.79462285287528,0.7902985074626866,0.7891276626575858,0.0032004320303055177,0.07894736842105263,0.10256410256410256,0.21505376344086022,0.0975609756097561,0.05128205128205128,0.10908165226356456,0.05595384120566327,392,0.059016393442622946,0.07741935483870967,0.24533333333333335,0.13249211356466878,0.1994301994301994,0.14273827892190685,0.07088105374036535
1.6854153156280518,0.11158457702788485,0.3790417671203613,0.026887983830524004,0.03125,0.0078125,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.0078125, 'clf__kernel': 'sigmoid'}",0.7791044776119403,0.755223880597015,0.7582089552238805,0.7701492537313432,0.7634730538922155,0.7652319242112788,0.008593073055029269,17,0.7849141150112023,0.7804331590739357,0.7759522031366691,0.7864077669902912,0.7925373134328358,0.7840489115289869,0.005603500613735435,0.3833333333333333,0.3787878787878788,0.4172661870503597,0.4539007092198581,0.3779527559055118,0.4022481728593883,0.02963764194361859,221,0.4524714828897339,0.48601398601398604,0.460431654676259,0.45419847328244267,0.43951612903225806,0.4585263451789359,0.01533610611201144
1.8092925071716308,0.14749369228084716,0.4204456329345703,0.07512541688597281,0.03125,0.015625,sigmoid,"{'clf__C': 0.03125, 'clf__gamma': 0.015625, 'clf__kernel': 'sigmoid'}",0.7791044776119403,0.7373134328358208,0.7194029850746269,0.7164179104477612,0.7485029940119761,0.740148359996425,0.02275487041334778,27,0.7475728155339806,0.7498132935026139,0.7550410754294249,0.7490664675130695,0.753731343283582,0.7510449990525342,0.002852115556512541,0.5542168674698795,0.5268817204301076,0.5204081632653061,0.5128205128205129,0.5116279069767442,0.5251910341925101,0.01552560137702904,28,0.5357142857142857,0.5491251682368775,0.5567567567567567,0.5483870967741936,0.5391061452513967,0.5458178905467019,0.007540929065300521
