,param_C,param_gamma,param_kernel,Score,Result,model_param,type,C
72,0.1,scale,linear,Accuracy,0.49330771293234427,linear scale,test,0.1
73,0.1,scale,rbf,Accuracy,0.7807650370899991,rbf scale,test,0.1
74,0.1,scale,poly,Accuracy,0.5547555634998659,poly scale,test,0.1
75,0.1,scale,sigmoid,Accuracy,0.7807650370899991,sigmoid scale,test,0.1
76,0.1,auto,linear,Accuracy,0.49330771293234427,linear auto,test,0.1
77,0.1,auto,rbf,Accuracy,0.7807650370899991,rbf auto,test,0.1
78,0.1,auto,poly,Accuracy,0.4431137724550898,poly auto,test,0.1
79,0.1,auto,sigmoid,Accuracy,0.7096719992850121,sigmoid auto,test,0.1
80,1,scale,linear,Accuracy,0.49330771293234427,linear scale,test,1
81,1,scale,rbf,Accuracy,0.7831566717311647,rbf scale,test,1
82,1,scale,poly,Accuracy,0.2204272052909107,poly scale,test,1
83,1,scale,sigmoid,Accuracy,0.7246009473590133,sigmoid scale,test,1
84,1,auto,linear,Accuracy,0.49330771293234427,linear auto,test,1
85,1,auto,rbf,Accuracy,0.780168022164626,rbf auto,test,1
86,1,auto,poly,Accuracy,0.44012869782822417,poly auto,test,1
87,1,auto,sigmoid,Accuracy,0.6457520779336849,sigmoid auto,test,1
88,10,scale,linear,Accuracy,0.49330771293234427,linear scale,test,10
89,10,scale,rbf,Accuracy,0.7879292161944768,rbf scale,test,10
90,10,scale,poly,Accuracy,0.554755563499866,poly scale,test,10
91,10,scale,sigmoid,Accuracy,0.7156439360085798,sigmoid scale,test,10
92,10,auto,linear,Accuracy,0.49330771293234427,linear auto,test,10
93,10,auto,rbf,Accuracy,0.7724032531951023,rbf auto,test,10
94,10,auto,poly,Accuracy,0.3332630261864331,poly auto,test,10
95,10,auto,sigmoid,Accuracy,0.6039360085798553,sigmoid auto,test,10
96,100,scale,linear,Accuracy,0.49330771293234427,linear scale,test,100
97,100,scale,rbf,Accuracy,0.7849405666279381,rbf scale,test,100
98,100,scale,poly,Accuracy,0.443710787380463,poly scale,test,100
99,100,scale,sigmoid,Accuracy,0.7150487085530431,sigmoid scale,test,100
100,100,auto,linear,Accuracy,0.49330771293234427,linear auto,test,100
101,100,auto,rbf,Accuracy,0.7718062382697293,rbf auto,test,100
102,100,auto,poly,Accuracy,0.6679310036643132,poly auto,test,100
