Result,model_param,Score,type,C,gamma,kernel
0.7642056074766355,4.0 / 0.00048828125,Accuracy,train,4.0,0.00048828125,rbf
0.7851401869158879,4.0 / 0.0009765625,Accuracy,train,4.0,0.0009765625,rbf
0.8221495327102802,4.0 / 0.001953125,Accuracy,train,4.0,0.001953125,rbf
0.8835514018691588,4.0 / 0.00390625,Accuracy,train,4.0,0.00390625,rbf
0.9730841121495327,4.0 / 0.0078125,Accuracy,train,4.0,0.0078125,rbf
0.7446728971962616,8.0 / 3.0517578125e-05,Accuracy,train,8.0,3.0517578125e-05,rbf
0.7478504672897197,8.0 / 6.103515625e-05,Accuracy,train,8.0,6.103515625e-05,rbf
0.7524299065420561,8.0 / 0.0001220703125,Accuracy,train,8.0,0.0001220703125,rbf
0.7642056074766355,8.0 / 0.000244140625,Accuracy,train,8.0,0.000244140625,rbf
0.7814953271028038,8.0 / 0.00048828125,Accuracy,train,8.0,0.00048828125,rbf
0.811214953271028,8.0 / 0.0009765625,Accuracy,train,8.0,0.0009765625,rbf
0.8587850467289719,8.0 / 0.001953125,Accuracy,train,8.0,0.001953125,rbf
0.9399065420560747,8.0 / 0.00390625,Accuracy,train,8.0,0.00390625,rbf
0.7480373831775702,16.0 / 3.0517578125e-05,Accuracy,train,16.0,3.0517578125e-05,rbf
0.7528037383177569,16.0 / 6.103515625e-05,Accuracy,train,16.0,6.103515625e-05,rbf
0.7633644859813083,16.0 / 0.0001220703125,Accuracy,train,16.0,0.0001220703125,rbf
0.7784112149532709,16.0 / 0.000244140625,Accuracy,train,16.0,0.000244140625,rbf
0.804766355140187,16.0 / 0.00048828125,Accuracy,train,16.0,0.00048828125,rbf
0.8406542056074766,16.0 / 0.0009765625,Accuracy,train,16.0,0.0009765625,rbf
0.9042056074766354,16.0 / 0.001953125,Accuracy,train,16.0,0.001953125,rbf
0.9820560747663551,16.0 / 0.00390625,Accuracy,train,16.0,0.00390625,rbf
0.7528037383177569,32.0 / 3.0517578125e-05,Accuracy,train,32.0,3.0517578125e-05,rbf
0.7633644859813085,32.0 / 6.103515625e-05,Accuracy,train,32.0,6.103515625e-05,rbf
0.7779439252336449,32.0 / 0.0001220703125,Accuracy,train,32.0,0.0001220703125,rbf
0.8016822429906542,32.0 / 0.000244140625,Accuracy,train,32.0,0.000244140625,rbf
0.8301869158878505,32.0 / 0.00048828125,Accuracy,train,32.0,0.00048828125,rbf
0.8774766355140187,32.0 / 0.0009765625,Accuracy,train,32.0,0.0009765625,rbf
0.9517757009345795,32.0 / 0.001953125,Accuracy,train,32.0,0.001953125,rbf
0.7628971962616822,64.0 / 3.0517578125e-05,Accuracy,train,64.0,3.0517578125e-05,rbf
0.7777570093457944,64.0 / 6.103515625e-05,Accuracy,train,64.0,6.103515625e-05,rbf
0.7988785046728972,64.0 / 0.0001220703125,Accuracy,train,64.0,0.0001220703125,rbf
0.8245794392523365,64.0 / 0.000244140625,Accuracy,train,64.0,0.000244140625,rbf
0.8600934579439252,64.0 / 0.00048828125,Accuracy,train,64.0,0.00048828125,rbf
0.9171028037383178,64.0 / 0.0009765625,Accuracy,train,64.0,0.0009765625,rbf
0.9854205607476636,64.0 / 0.001953125,Accuracy,train,64.0,0.001953125,rbf
0.7774766355140187,128.0 / 3.0517578125e-05,Accuracy,train,128.0,3.0517578125e-05,rbf
0.7977570093457944,128.0 / 6.103515625e-05,Accuracy,train,128.0,6.103515625e-05,rbf
0.8195327102803738,128.0 / 0.0001220703125,Accuracy,train,128.0,0.0001220703125,rbf
0.848878504672897,128.0 / 0.000244140625,Accuracy,train,128.0,0.000244140625,rbf
0.8911214953271027,128.0 / 0.00048828125,Accuracy,train,128.0,0.00048828125,rbf
0.9557009345794393,128.0 / 0.0009765625,Accuracy,train,128.0,0.0009765625,rbf
0.7960747663551402,256.0 / 3.0517578125e-05,Accuracy,train,256.0,3.0517578125e-05,rbf
0.8185046728971962,256.0 / 6.103515625e-05,Accuracy,train,256.0,6.103515625e-05,rbf
0.8428971962616822,256.0 / 0.0001220703125,Accuracy,train,256.0,0.0001220703125,rbf
0.8742056074766354,256.0 / 0.000244140625,Accuracy,train,256.0,0.000244140625,rbf
0.9257943925233645,256.0 / 0.00048828125,Accuracy,train,256.0,0.00048828125,rbf
0.9870093457943925,256.0 / 0.0009765625,Accuracy,train,256.0,0.0009765625,rbf
0.8175700934579438,512.0 / 3.0517578125e-05,Accuracy,train,512.0,3.0517578125e-05,rbf
0.8410280373831774,512.0 / 6.103515625e-05,Accuracy,train,512.0,6.103515625e-05,rbf
0.8654205607476635,512.0 / 0.0001220703125,Accuracy,train,512.0,0.0001220703125,rbf
0.9040186915887851,512.0 / 0.000244140625,Accuracy,train,512.0,0.000244140625,rbf
0.9611214953271029,512.0 / 0.00048828125,Accuracy,train,512.0,0.00048828125,rbf
0.8379439252336448,1024.0 / 3.0517578125e-05,Accuracy,train,1024.0,3.0517578125e-05,rbf
0.8602803738317757,1024.0 / 6.103515625e-05,Accuracy,train,1024.0,6.103515625e-05,rbf
0.8894392523364486,1024.0 / 0.0001220703125,Accuracy,train,1024.0,0.0001220703125,rbf
0.9329906542056076,1024.0 / 0.000244140625,Accuracy,train,1024.0,0.000244140625,rbf
0.9883177570093459,1024.0 / 0.00048828125,Accuracy,train,1024.0,0.00048828125,rbf
0.8572897196261682,2048.0 / 3.0517578125e-05,Accuracy,train,2048.0,3.0517578125e-05,rbf
0.8791588785046729,2048.0 / 6.103515625e-05,Accuracy,train,2048.0,6.103515625e-05,rbf
0.9161682242990654,2048.0 / 0.0001220703125,Accuracy,train,2048.0,0.0001220703125,rbf
0.9658878504672899,2048.0 / 0.000244140625,Accuracy,train,2048.0,0.000244140625,rbf
0.8744859813084112,4096.0 / 3.0517578125e-05,Accuracy,train,4096.0,3.0517578125e-05,rbf
0.9033644859813084,4096.0 / 6.103515625e-05,Accuracy,train,4096.0,6.103515625e-05,rbf
0.9440186915887849,4096.0 / 0.0001220703125,Accuracy,train,4096.0,0.0001220703125,rbf
0.9899065420560748,4096.0 / 0.000244140625,Accuracy,train,4096.0,0.000244140625,rbf
0.8960747663551402,8192.0 / 3.0517578125e-05,Accuracy,train,8192.0,3.0517578125e-05,rbf
0.9275700934579441,8192.0 / 6.103515625e-05,Accuracy,train,8192.0,6.103515625e-05,rbf
0.9706542056074767,8192.0 / 0.0001220703125,Accuracy,train,8192.0,0.0001220703125,rbf
0.9202803738317756,16384.0 / 3.0517578125e-05,Accuracy,train,16384.0,3.0517578125e-05,rbf
0.9524299065420561,16384.0 / 6.103515625e-05,Accuracy,train,16384.0,6.103515625e-05,rbf
0.9428971962616822,32768.0 / 3.0517578125e-05,Accuracy,train,32768.0,3.0517578125e-05,rbf
0.976822429906542,32768.0 / 6.103515625e-05,Accuracy,train,32768.0,6.103515625e-05,rbf
0.7734579439252336,0.03125 / 0.001953125,Accuracy,test,0.03125,0.001953125,rbf
0.7614953271028038,0.03125 / 0.00390625,Accuracy,test,0.03125,0.00390625,rbf
0.7323364485981309,0.03125 / 0.0078125,Accuracy,test,0.03125,0.0078125,rbf
0.6717757009345794,0.03125 / 0.015625,Accuracy,test,0.03125,0.015625,rbf
0.5349532710280374,0.03125 / 0.03125,Accuracy,test,0.03125,0.03125,rbf
0.7891588785046728,0.0625 / 0.0009765625,Accuracy,test,0.0625,0.0009765625,rbf
