Result,model_param,Score,type,C,gamma,coef0,kernel
0.5803164556962026,0.125 / 0.25 / 1.0,Accuracy,train,0.125,0.25,1.0,sigmoid
0.5479430379746836,0.125 / 0.5 / 1.0,Accuracy,train,0.125,0.5,1.0,sigmoid
0.540379746835443,0.125 / 1.0 / 1.0,Accuracy,train,0.125,1.0,1.0,sigmoid
0.5403481012658228,0.125 / 2.0 / 1.0,Accuracy,train,0.125,2.0,1.0,sigmoid
0.545506329113924,0.125 / 4.0 / 1.0,Accuracy,train,0.125,4.0,1.0,sigmoid
0.8889240506329112,0.25 / 0.01562 / 0.0,Accuracy,train,0.25,0.015625,0.0,sigmoid
0.8738291139240507,0.25 / 0.03125 / 0.0,Accuracy,train,0.25,0.03125,0.0,sigmoid
0.8435126582278482,0.25 / 0.0625 / 0.0,Accuracy,train,0.25,0.0625,0.0,sigmoid
0.6842405063291139,0.25 / 0.125 / 0.0,Accuracy,train,0.25,0.125,0.0,sigmoid
0.568259493670886,0.25 / 0.25 / 0.0,Accuracy,train,0.25,0.25,0.0,sigmoid
0.5505696202531646,0.25 / 0.5 / 0.0,Accuracy,train,0.25,0.5,0.0,sigmoid
0.5606012658227848,0.25 / 1.0 / 0.0,Accuracy,train,0.25,1.0,0.0,sigmoid
0.5102531645569621,0.25 / 2.0 / 0.0,Accuracy,train,0.25,2.0,0.0,sigmoid
0.886392405063291,0.25 / 0.01562 / 0.1,Accuracy,train,0.25,0.015625,0.1,sigmoid
0.8712974683544304,0.25 / 0.03125 / 0.1,Accuracy,train,0.25,0.03125,0.1,sigmoid
0.8359177215189874,0.25 / 0.0625 / 0.1,Accuracy,train,0.25,0.0625,0.1,sigmoid
0.6690506329113923,0.25 / 0.125 / 0.1,Accuracy,train,0.25,0.125,0.1,sigmoid
0.5506012658227849,0.25 / 0.25 / 0.1,Accuracy,train,0.25,0.25,0.1,sigmoid
0.5354113924050633,0.25 / 0.5 / 0.1,Accuracy,train,0.25,0.5,0.1,sigmoid
0.5555379746835443,0.25 / 1.0 / 0.1,Accuracy,train,0.25,1.0,0.1,sigmoid
0.5152848101265822,0.25 / 2.0 / 0.1,Accuracy,train,0.25,2.0,0.1,sigmoid
0.4749367088607595,0.25 / 4.0 / 0.1,Accuracy,train,0.25,4.0,0.1,sigmoid
0.8003481012658229,0.25 / 0.0625 / 1.0,Accuracy,train,0.25,0.0625,1.0,sigmoid
0.6309177215189874,0.25 / 0.125 / 1.0,Accuracy,train,0.25,0.125,1.0,sigmoid
0.5425,0.25 / 0.25 / 1.0,Accuracy,train,0.25,0.25,1.0,sigmoid
0.4923417721518987,0.25 / 0.5 / 1.0,Accuracy,train,0.25,0.5,1.0,sigmoid
0.5100316455696203,0.25 / 2.0 / 1.0,Accuracy,train,0.25,2.0,1.0,sigmoid
0.4824367088607594,0.25 / 4.0 / 1.0,Accuracy,train,0.25,4.0,1.0,sigmoid
