,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier_train_acc,DummyClassifier_test_acc,DummyClassifier_train_f1,DummyClassifier_test_f1,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,KNeighborsClassifier_train_acc,KNeighborsClassifier_test_acc,KNeighborsClassifier_train_f1,KNeighborsClassifier_test_f1,SVC_train_acc,SVC_test_acc,SVC_train_f1,SVC_test_f1,DecisionTreeClassifier_train_acc,DecisionTreeClassifier_test_acc,DecisionTreeClassifier_train_f1,DecisionTreeClassifier_test_f1,RandomForestClassifier_train_acc,RandomForestClassifier_test_acc,RandomForestClassifier_train_f1,RandomForestClassifier_test_f1,AdaBoostClassifier_train_acc,AdaBoostClassifier_test_acc,AdaBoostClassifier_train_f1,AdaBoostClassifier_test_f1,GradientBoostingClassifier_train_acc,GradientBoostingClassifier_test_acc,GradientBoostingClassifier_train_f1,GradientBoostingClassifier_test_f1,GaussianNB_train_acc,GaussianNB_test_acc,GaussianNB_train_f1,GaussianNB_test_f1
10,popular_hr_3,6,True,True,True,True,True,False,False,0.807,0.807,0.0,0.0,0.878,0.876,0.585,0.58,0.916,0.871,0.752,0.598,0.838,0.838,0.286,0.28,1.0,0.852,1.0,0.617,1.0,0.906,1.0,0.722,0.884,0.878,0.643,0.626,0.907,0.889,0.715,0.66,,,,
11,popular_hr_3,6,True,True,True,False,False,False,False,0.807,0.807,0.0,0.0,0.878,0.876,0.585,0.58,0.916,0.871,0.752,0.598,0.838,0.838,0.286,0.28,1.0,0.852,1.0,0.617,1.0,0.906,1.0,0.722,0.884,0.878,0.643,0.626,0.907,0.889,0.715,0.66,,,,
12,popular_hr_6,0,True,True,True,True,True,True,True,0.802,0.802,0.0,0.0,0.815,0.808,0.241,0.205,0.839,0.788,0.444,0.249,0.802,0.802,0.0,0.0,1.0,0.701,1.0,0.272,1.0,0.8,0.999,0.212,0.829,0.796,0.384,0.26,0.879,0.8,0.577,0.228,,,,
13,popular_hr_6,0,True,True,True,True,False,True,False,0.802,0.802,0.0,0.0,0.815,0.808,0.241,0.205,0.839,0.788,0.444,0.249,0.802,0.802,0.0,0.0,1.0,0.701,1.0,0.272,1.0,0.8,0.999,0.212,0.829,0.796,0.384,0.26,0.879,0.8,0.577,0.228,,,,
14,popular_hr_6,0,True,True,True,True,True,False,False,0.802,0.802,0.0,0.0,0.815,0.808,0.241,0.205,0.839,0.788,0.444,0.249,0.802,0.802,0.0,0.0,1.0,0.701,1.0,0.272,1.0,0.8,0.999,0.212,0.829,0.796,0.384,0.26,0.879,0.8,0.577,0.228,,,,
15,popular_hr_6,0,True,True,True,False,False,False,False,0.802,0.802,0.0,0.0,0.815,0.808,0.241,0.205,0.839,0.788,0.444,0.249,0.802,0.802,0.0,0.0,1.0,0.701,1.0,0.272,1.0,0.8,0.999,0.212,0.829,0.796,0.384,0.26,0.879,0.8,0.577,0.228,,,,
16,popular_hr_6,3,True,True,True,True,True,True,True,0.819,0.819,0.0,0.0,0.896,0.896,0.639,0.637,0.957,0.939,0.875,0.821,0.866,0.865,0.431,0.423,1.0,0.91,1.0,0.754,1.0,0.95,1.0,0.852,0.898,0.895,0.674,0.66,0.919,0.909,0.74,0.707,,,,
17,popular_hr_6,3,True,True,True,True,False,True,False,0.819,0.819,0.0,0.0,0.896,0.896,0.639,0.637,0.957,0.939,0.875,0.821,0.866,0.865,0.431,0.423,1.0,0.91,1.0,0.754,1.0,0.95,1.0,0.852,0.898,0.895,0.674,0.66,0.919,0.909,0.74,0.707,,,,
18,popular_hr_6,3,True,True,True,True,True,False,False,0.819,0.819,0.0,0.0,0.896,0.896,0.639,0.637,0.957,0.939,0.875,0.821,0.866,0.865,0.431,0.423,1.0,0.91,1.0,0.754,1.0,0.95,1.0,0.852,0.898,0.895,0.674,0.66,0.919,0.909,0.74,0.707,,,,
19,popular_hr_6,3,True,True,True,False,False,False,False,0.819,0.819,0.0,0.0,0.896,0.896,0.639,0.637,0.957,0.939,0.875,0.821,0.866,0.865,0.431,0.423,1.0,0.91,1.0,0.754,1.0,0.95,1.0,0.852,0.898,0.895,0.674,0.66,0.919,0.909,0.74,0.707,,,,
20,popular_hr_6,6,True,True,True,True,True,True,True,0.821,0.821,0.0,0.0,0.885,0.882,0.578,0.567,0.92,0.875,0.743,0.572,0.847,0.846,0.258,0.249,1.0,0.862,1.0,0.614,1.0,0.913,1.0,0.719,0.889,0.881,0.632,0.604,0.912,0.892,0.704,0.635,,,,
21,popular_hr_6,6,True,True,True,True,False,True,False,0.821,0.821,0.0,0.0,0.885,0.882,0.578,0.567,0.92,0.875,0.743,0.572,0.847,0.846,0.258,0.249,1.0,0.862,1.0,0.614,1.0,0.913,1.0,0.719,0.889,0.881,0.632,0.604,0.912,0.892,0.704,0.635,,,,
22,popular_hr_6,6,True,True,True,True,True,False,False,0.821,0.821,0.0,0.0,0.885,0.882,0.578,0.567,0.92,0.875,0.743,0.572,0.847,0.846,0.258,0.249,1.0,0.862,1.0,0.614,1.0,0.913,1.0,0.719,0.889,0.881,0.632,0.604,0.912,0.892,0.704,0.635,,,,
