mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,max_features,n_estimators,subsample,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0.3355752468109131,0.018230041476565192,0.019626140594482422,0.0025839360087739553,0.01,3,log2,50,0.5,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 50, 'clf__subsample': 0.5}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3643795490264893,0.042045432399874405,0.016595840454101562,0.00252086760314666,0.01,3,log2,50,0.75,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 50, 'clf__subsample': 0.75}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4310276508331299,0.044305815882335356,0.0157289981842041,0.0020692836514196638,0.01,3,log2,50,1.0,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 50, 'clf__subsample': 1.0}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3840923309326172,0.01646727767970942,0.016514110565185546,0.0016429242151214313,0.01,3,log2,75,0.5,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 75, 'clf__subsample': 0.5}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46388969421386717,0.011075346711829762,0.01583752632141113,0.00191418793420701,0.01,3,log2,75,0.75,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 75, 'clf__subsample': 0.75}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6003864288330079,0.025694930705680047,0.018036699295043944,0.0036788669945732357,0.01,3,log2,75,1.0,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 75, 'clf__subsample': 1.0}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5657052516937255,0.052499591721281054,0.01974034309387207,0.0019740693174200396,0.01,3,log2,100,0.5,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 100, 'clf__subsample': 0.5}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7492369174957275,0.032562239155476264,0.020148420333862306,0.0032369395998986792,0.01,3,log2,100,0.75,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 100, 'clf__subsample': 0.75}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8056389808654785,0.00833474771997587,0.018014812469482423,0.0035902122372430466,0.01,3,log2,100,1.0,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5941318511962891,0.027509996382154154,0.018485546112060547,0.003047493439990401,0.01,3,log2,125,0.5,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__n_estimators': 125, 'clf__subsample': 0.5}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,762,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
