Result,model_param,Score,type,learning_rate,n_estimators,max_depth,max_features,subsample,min_samples_split,min_samples_leaf
0.9617757009345794,0.06618101782710437 / 152 / 6 / 0.28343478986616377 / 0.44583275285359114 / 0.09979877262955549 / 8,Accuracy,train,0.06618101782710437,152,6,0.28343478986616377,0.44583275285359114,0.09979877262955549,8
,0.15548647782429914 / 70 / 5 / 1.0385527090157503 / 0.6174815096277165 / 0.03727374508106509 / 2,Accuracy,train,0.15548647782429914,70,5,1.0385527090157503,0.6174815096277165,0.03727374508106509,2
0.9344859813084112,0.10174797407324213 / 64 / 6 / 0.5319450186421157 / 0.45606998421703593 / 0.08871619903875837 / 1,Accuracy,train,0.10174797407324213,64,6,0.5319450186421157,0.45606998421703593,0.08871619903875837,1
0.8642990654205607,0.11204613078816694 / 63 / 2 / 0.16505159298527952 / 0.8083973481164611 / 0.15133026335272792 / 4,Accuracy,train,0.11204613078816694,63,2,0.16505159298527952,0.8083973481164611,0.15133026335272792,4
0.9756074766355141,0.14639806031181732 / 183 / 5 / 0.2822360877880623 / 0.20794166286818883 / 0.056756661413411645 / 4,Accuracy,train,0.14639806031181732,183,5,0.2822360877880623,0.20794166286818883,0.056756661413411645,4
,0.09515504917299872 / 63 / 6 / 1.0695846277645586 / 0.7272719958564209 / 0.06927253540027216 / 2,Accuracy,train,0.09515504917299872,63,6,1.0695846277645586,0.7272719958564209,0.06927253540027216,2
0.9441121495327103,0.058981115320875306 / 131 / 7 / 0.2959828624191452 / 0.5396921323890798 / 0.15417580365240238 / 9,Accuracy,train,0.058981115320875306,131,7,0.2959828624191452,0.5396921323890798,0.15417580365240238,9
0.8220560747663551,0.09801267484957722 / 94 / 2 / 0.38093450968738074 / 0.07455064367977082 / 0.05444102585561236 / 9,Accuracy,train,0.09801267484957722,94,2,0.38093450968738074,0.07455064367977082,0.05444102585561236,9
0.937289719626168,0.1580330404900776 / 130 / 2 / 0.2987156815341724 / 0.71134195274865 / 0.012111973407262668 / 8,Accuracy,train,0.1580330404900776,130,2,0.2987156815341724,0.71134195274865,0.012111973407262668,8
0.9539252336448598,0.12852633107968084 / 77 / 4 / 0.17404465173409037 / 0.8631034258755935 / 0.10766155382529166 / 7,Accuracy,train,0.12852633107968084,77,4,0.17404465173409037,0.8631034258755935,0.10766155382529166,7
0.9220560747663551,0.10349471902413368 / 86 / 3 / 0.19541011649041132 / 0.7296061783380641 / 0.05664734825734933 / 7,Accuracy,train,0.10349471902413368,86,3,0.19541011649041132,0.7296061783380641,0.05664734825734933,7
0.8542056074766355,0.026183714048995665 / 192 / 2 / 0.41435598107632665 / 0.7555511385430487 / 0.14613497108891396 / 4,Accuracy,train,0.026183714048995665,192,2,0.41435598107632665,0.7555511385430487,0.14613497108891396,4
0.906822429906542,0.04431972482374337 / 111 / 4 / 0.7947849330397045 / 0.6334037565104235 / 0.10365310722006899 / 2,Accuracy,train,0.04431972482374337,111,4,0.7947849330397045,0.6334037565104235,0.10365310722006899,2
0.9495327102803739,0.14071908852815765 / 124 / 5 / 0.31844043721683357 / 0.32434502100527396 / 0.14388384977349666 / 4,Accuracy,train,0.14071908852815765,124,5,0.31844043721683357,0.32434502100527396,0.14388384977349666,4
0.9386915887850467,0.13270221488837397 / 186 / 2 / 0.404781258158029 / 0.4848299713589832 / 0.08661209538663485 / 6,Accuracy,train,0.13270221488837397,186,2,0.404781258158029,0.4848299713589832,0.08661209538663485,6
0.8287850467289719,0.11386540493354054 / 162 / 3 / 0.43761517140362793 / 0.06489224710898156 / 0.04281463293596054 / 6,Accuracy,train,0.11386540493354054,162,3,0.43761517140362793,0.06489224710898156,0.04281463293596054,6
0.8954205607476636,0.048087312090151706 / 150 / 5 / 0.35178229582536413 / 0.2848404943774676 / 0.1168405884886663 / 2,Accuracy,train,0.048087312090151706,150,5,0.35178229582536413,0.2848404943774676,0.1168405884886663,2
,0.01553304210317992 / 178 / 2 / 1.076614955832653 / 0.23956189066697242 / 0.014957609935082258 / 6,Accuracy,train,0.01553304210317992,178,2,1.076614955832653,0.23956189066697242,0.014957609935082258,6
0.82803738317757,0.03173423081368346 / 117 / 5 / 0.5477831645730916 / 0.08085332633271525 / 0.046308290726725064 / 6,Accuracy,train,0.03173423081368346,117,5,0.5477831645730916,0.08085332633271525,0.046308290726725064,6
0.8914018691588785,0.06544816840921067 / 147 / 2 / 0.8282163486118596 / 0.6335297107608947 / 0.08054509516690575 / 8,Accuracy,train,0.06544816840921067,147,2,0.8282163486118596,0.6335297107608947,0.08054509516690575,8
0.8432710280373833,0.09036620261121377 / 52 / 2 / 0.25071754396542945 / 0.5908929431882418 / 0.11437192101863228 / 6,Accuracy,train,0.09036620261121377,52,2,0.25071754396542945,0.5908929431882418,0.11437192101863228,6
0.9816822429906541,0.11163465427634235 / 101 / 4 / 0.8111495324380178 / 0.940523264489604 / 0.06229989809375941 / 3,Accuracy,train,0.11163465427634235,101,4,0.8111495324380178,0.940523264489604,0.06229989809375941,3
0.8939252336448599,0.06963580316312834 / 91 / 3 / 0.937710105907328 / 0.2579416277151556 / 0.027021028186088362 / 9,Accuracy,train,0.06963580316312834,91,3,0.937710105907328,0.2579416277151556,0.027021028186088362,9
,0.10899760690512685 / 51 / 3 / 1.0821683433294356 / 0.9962536997579243 / 0.08944758675340096 / 4,Accuracy,train,0.10899760690512685,51,3,1.0821683433294356,0.9962536997579243,0.08944758675340096,4
,0.15481290269331904 / 148 / 6 / 1.0004180571633305 / 0.7003578299727713 / 0.0608544686573051 / 7,Accuracy,train,0.15481290269331904,148,6,1.0004180571633305,0.7003578299727713,0.0608544686573051,7
0.9889719626168224,0.03424430711419207 / 148 / 7 / 0.7689882547142286 / 0.9736638367553173 / 0.06584241498426147 / 3,Accuracy,train,0.03424430711419207,148,7,0.7689882547142286,0.9736638367553173,0.06584241498426147,3
0.9047663551401868,0.05258814621061986 / 117 / 7 / 0.6487337893665861 / 0.23724908749680007 / 0.0772636214479371 / 6,Accuracy,train,0.05258814621061986,117,7,0.6487337893665861,0.23724908749680007,0.0772636214479371,6
0.9280373831775701,0.05880995472389016 / 194 / 5 / 0.4664687845828599 / 0.3080607918523892 / 0.1373835115741267 / 8,Accuracy,train,0.05880995472389016,194,5,0.4664687845828599,0.3080607918523892,0.1373835115741267,8
0.9669158878504673,0.09138103458323489 / 87 / 4 / 0.4677158030594335 / 0.978892858275009 / 0.04756927279083762 / 7,Accuracy,train,0.09138103458323489,87,4,0.4677158030594335,0.978892858275009,0.04756927279083762,7
0.9293457943925233,0.08301132294391826 / 77 / 4 / 0.5343943655104286 / 0.6689240596630996 / 0.08539556396577881 / 5,Accuracy,train,0.08301132294391826,77,4,0.5343943655104286,0.6689240596630996,0.08539556396577881,5
,0.15918257661960117 / 173 / 7 / 1.0539285770025875 / 0.015456616528867428 / 0.14252410333993884 / 5,Accuracy,train,0.15918257661960117,173,7,1.0539285770025875,0.015456616528867428,0.14252410333993884,5
0.9149532710280374,0.1492477843881588 / 165 / 2 / 0.6527649668354899 / 0.2944488920695857 / 0.15704973755740687 / 3,Accuracy,train,0.1492477843881588,165,2,0.6527649668354899,0.2944488920695857,0.15704973755740687,3
0.870747663551402,0.06776465929028878 / 103 / 2 / 0.41692200515627764 / 0.696029796674973 / 0.09352018936875252 / 2,Accuracy,train,0.06776465929028878,103,2,0.41692200515627764,0.696029796674973,0.09352018936875252,2
0.9664485981308412,0.09550917551340474 / 176 / 3 / 0.7150072266991697 / 0.5183296523637367 / 0.06379701719442459 / 6,Accuracy,train,0.09550917551340474,176,3,0.7150072266991697,0.5183296523637367,0.06379701719442459,6
0.8804672897196262,0.14160596078919332 / 88 / 2 / 0.9486697949246744 / 0.29359184426449336 / 0.11537261259806639 / 9,Accuracy,train,0.14160596078919332,88,2,0.9486697949246744,0.29359184426449336,0.11537261259806639,9
0.9844859813084114,0.13140417332177703 / 184 / 4 / 0.35620694359445804 / 0.5015162946871996 / 0.1469860828834707 / 8,Accuracy,train,0.13140417332177703,184,4,0.35620694359445804,0.5015162946871996,0.1469860828834707,8
0.9128037383177571,0.12974427684501627 / 141 / 2 / 0.17094091699992767 / 0.5788648955075587 / 0.06069927352773037 / 3,Accuracy,train,0.12974427684501627,141,2,0.17094091699992767,0.5788648955075587,0.06069927352773037,3
0.9260747663551403,0.07577111845271303 / 135 / 7 / 0.4281526674747319 / 0.25025136051586405 / 0.09862498908535161 / 6,Accuracy,train,0.07577111845271303,135,7,0.4281526674747319,0.25025136051586405,0.09862498908535161,6
,0.11891370005839923 / 112 / 6 / 1.069536867114159 / 0.43352073758074205 / 0.12927792921530554 / 3,Accuracy,train,0.11891370005839923,112,6,1.069536867114159,0.43352073758074205,0.12927792921530554,3
0.9817757009345793,0.1216063964498673 / 176 / 3 / 0.12535074341545752 / 0.695974206093698 / 0.02213094499257965 / 5,Accuracy,train,0.1216063964498673,176,3,0.12535074341545752,0.695974206093698,0.02213094499257965,5
,0.07134294166214047 / 167 / 3 / 1.0152137276264805 / 0.7145959227000623 / 0.045968103873610486 / 2,Accuracy,train,0.07134294166214047,167,3,1.0152137276264805,0.7145959227000623,0.045968103873610486,2
0.9539252336448598,0.08374238126752484 / 59 / 5 / 0.27320186991001516 / 0.9491457315913859 / 0.06977571015960601 / 5,Accuracy,train,0.08374238126752484,59,5,0.27320186991001516,0.9491457315913859,0.06977571015960601,5
0.938785046728972,0.14300205809470715 / 50 / 5 / 0.4746126146264712 / 0.5393774484000625 / 0.08547043878701314 / 3,Accuracy,train,0.14300205809470715,50,5,0.4746126146264712,0.5393774484000625,0.08547043878701314,3
0.871588785046729,0.11259456540972115 / 173 / 3 / 0.12651131054162182 / 0.12850035323391018 / 0.09632112668138183 / 4,Accuracy,train,0.11259456540972115,173,3,0.12651131054162182,0.12850035323391018,0.09632112668138183,4
,0.13168062651040044 / 123 / 4 / 1.0414648087765253 / 0.20668435987674538 / 0.13306402656569022 / 3,Accuracy,train,0.13168062651040044,123,4,1.0414648087765253,0.20668435987674538,0.13306402656569022,3
0.9254205607476635,0.051094169098170064 / 84 / 5 / 0.20077800137742666 / 0.3365542148887265 / 0.015844469846535043 / 2,Accuracy,train,0.051094169098170064,84,5,0.20077800137742666,0.3365542148887265,0.015844469846535043,2
0.9169158878504673,0.10835839530711132 / 184 / 6 / 0.9448753109694545 / 0.11816482762165625 / 0.049104179235385466 / 2,Accuracy,train,0.10835839530711132,184,6,0.9448753109694545,0.11816482762165625,0.049104179235385466,2
,0.1145105748046226 / 70 / 6 / 1.0366481518557074 / 0.9675805515202475 / 0.12026065657058285 / 8,Accuracy,train,0.1145105748046226,70,6,1.0366481518557074,0.9675805515202475,0.12026065657058285,8
0.9144859813084112,0.0921957824872131 / 85 / 6 / 0.8506147516408583 / 0.37201808579278317 / 0.158575771300101 / 3,Accuracy,train,0.0921957824872131,85,6,0.8506147516408583,0.37201808579278317,0.158575771300101,3
,0.11087776841155575 / 91 / 5 / 1.0461945428816903 / 0.9742482085344102 / 0.0270196903026172 / 9,Accuracy,train,0.11087776841155575,91,5,1.0461945428816903,0.9742482085344102,0.0270196903026172,9
0.85,0.15938968630454936 / 124 / 3 / 0.541530501373377 / 0.11706701642760586 / 0.09188736552474833 / 7,Accuracy,train,0.15938968630454936,124,3,0.541530501373377,0.11706701642760586,0.09188736552474833,7
0.866822429906542,0.04338646263565458 / 132 / 2 / 0.9218600592903562 / 0.5813054172267823 / 0.022202317096284965 / 2,Accuracy,train,0.04338646263565458,132,2,0.9218600592903562,0.5813054172267823,0.022202317096284965,2
0.9879439252336448,0.13947077829835058 / 181 / 7 / 0.9127995672575026 / 0.35021824670031354 / 0.15790015957343065 / 7,Accuracy,train,0.13947077829835058,181,7,0.9127995672575026,0.35021824670031354,0.15790015957343065,7
0.9493457943925234,0.11622717933747996 / 139 / 4 / 0.8771469159274368 / 0.3302525290190985 / 0.11576265464449897 / 6,Accuracy,train,0.11622717933747996,139,4,0.8771469159274368,0.3302525290190985,0.11576265464449897,6
0.8444859813084111,0.12163174854149468 / 162 / 4 / 0.6833687650971596 / 0.08289132169335423 / 0.0662305869285556 / 9,Accuracy,train,0.12163174854149468,162,4,0.6833687650971596,0.08289132169335423,0.0662305869285556,9
,0.08925551819458137 / 196 / 6 / 1.0632225394406114 / 0.969302535619099 / 0.016510117494725914 / 5,Accuracy,train,0.08925551819458137,196,6,1.0632225394406114,0.969302535619099,0.016510117494725914,5
0.8956074766355139,0.08846467662552232 / 167 / 2 / 0.3168091065864912 / 0.3842018313792199 / 0.10413371201260951 / 1,Accuracy,train,0.08846467662552232,167,2,0.3168091065864912,0.3842018313792199,0.10413371201260951,1
0.9614953271028037,0.12056510587645287 / 166 / 4 / 0.3809631895922303 / 0.2773811829811327 / 0.06917826979121948 / 8,Accuracy,train,0.12056510587645287,166,4,0.3809631895922303,0.2773811829811327,0.06917826979121948,8
0.9057009345794393,0.038218173958564194 / 150 / 3 / 0.48826838398987216 / 0.9743948076661665 / 0.04989068874463584 / 2,Accuracy,train,0.038218173958564194,150,3,0.48826838398987216,0.9743948076661665,0.04989068874463584,2
0.9165420560747662,0.13338058643847533 / 59 / 3 / 0.5166390577384792 / 0.9327284833540133 / 0.10201227939036847 / 5,Accuracy,train,0.13338058643847533,59,3,0.5166390577384792,0.9327284833540133,0.10201227939036847,5
0.9410280373831776,0.15779290759982564 / 76 / 4 / 0.6941307153521351 / 0.5690814691657476 / 0.15548715967219048 / 9,Accuracy,train,0.15779290759982564,76,4,0.6941307153521351,0.5690814691657476,0.15548715967219048,9
,0.13193515136951164 / 102 / 6 / 1.0966368370739055 / 0.944765729882428 / 0.09777242984882079 / 5,Accuracy,train,0.13193515136951164,102,6,1.0966368370739055,0.944765729882428,0.09777242984882079,5
