Result,model_param,Score,type,C,gamma,degree,kernel
0.9207476635514018,0.03125 / 0.03125 / 3 / poly,Accuracy,train,0.03125,0.03125,3,poly
0.9605607476635514,0.0625 / 0.03125 / 3 / poly,Accuracy,train,0.0625,0.03125,3,poly
0.880747663551402,0.125 / 0.015625 / 3 / poly,Accuracy,train,0.125,0.015625,3,poly
0.9876635514018692,0.125 / 0.03125 / 3 / poly,Accuracy,train,0.125,0.03125,3,poly
0.9207476635514018,0.25 / 0.015625 / 3 / poly,Accuracy,train,0.25,0.015625,3,poly
0.9605607476635514,0.5 / 0.015625 / 3 / poly,Accuracy,train,0.5,0.015625,3,poly
0.880747663551402,1.0 / 0.0078125 / 3 / poly,Accuracy,train,1.0,0.0078125,3,poly
0.9876635514018692,1.0 / 0.015625 / 3 / poly,Accuracy,train,1.0,0.015625,3,poly
0.9207476635514018,2.0 / 0.0078125 / 3 / poly,Accuracy,train,2.0,0.0078125,3,poly
0.9605607476635514,4.0 / 0.0078125 / 3 / poly,Accuracy,train,4.0,0.0078125,3,poly
0.880747663551402,8.0 / 0.00390625 / 3 / poly,Accuracy,train,8.0,0.00390625,3,poly
0.9876635514018692,8.0 / 0.0078125 / 3 / poly,Accuracy,train,8.0,0.0078125,3,poly
0.9207476635514018,16.0 / 0.00390625 / 3 / poly,Accuracy,train,16.0,0.00390625,3,poly
0.9605607476635514,32.0 / 0.00390625 / 3 / poly,Accuracy,train,32.0,0.00390625,3,poly
0.880747663551402,64.0 / 0.001953125 / 3 / poly,Accuracy,train,64.0,0.001953125,3,poly
0.9876635514018692,64.0 / 0.00390625 / 3 / poly,Accuracy,train,64.0,0.00390625,3,poly
0.9207476635514018,128.0 / 0.001953125 / 3 / poly,Accuracy,train,128.0,0.001953125,3,poly
0.9605607476635514,256.0 / 0.001953125 / 3 / poly,Accuracy,train,256.0,0.001953125,3,poly
0.880747663551402,512.0 / 0.0009765625 / 3 / poly,Accuracy,train,512.0,0.0009765625,3,poly
0.9876635514018692,512.0 / 0.001953125 / 3 / poly,Accuracy,train,512.0,0.001953125,3,poly
0.9207476635514018,1024.0 / 0.0009765625 / 3 / poly,Accuracy,train,1024.0,0.0009765625,3,poly
0.9605607476635514,2048.0 / 0.0009765625 / 3 / poly,Accuracy,train,2048.0,0.0009765625,3,poly
0.880747663551402,4096.0 / 0.00048828125 / 3 / poly,Accuracy,train,4096.0,0.00048828125,3,poly
0.9876635514018692,4096.0 / 0.0009765625 / 3 / poly,Accuracy,train,4096.0,0.0009765625,3,poly
0.9207476635514018,8192.0 / 0.00048828125 / 3 / poly,Accuracy,train,8192.0,0.00048828125,3,poly
0.9605607476635514,16384.0 / 0.00048828125 / 3 / poly,Accuracy,train,16384.0,0.00048828125,3,poly
0.880747663551402,32768.0 / 0.000244140625 / 3 / poly,Accuracy,train,32768.0,0.000244140625,3,poly
0.9876635514018692,32768.0 / 0.00048828125 / 3 / poly,Accuracy,train,32768.0,0.00048828125,3,poly
0.7865420560747662,0.03125 / 0.03125 / 3 / poly,Accuracy,test,0.03125,0.03125,3,poly
0.7925233644859813,0.0625 / 0.03125 / 3 / poly,Accuracy,test,0.0625,0.03125,3,poly
0.7899065420560747,0.125 / 0.015625 / 3 / poly,Accuracy,test,0.125,0.015625,3,poly
0.800373831775701,0.125 / 0.03125 / 3 / poly,Accuracy,test,0.125,0.03125,3,poly
0.7865420560747662,0.25 / 0.015625 / 3 / poly,Accuracy,test,0.25,0.015625,3,poly
0.7925233644859813,0.5 / 0.015625 / 3 / poly,Accuracy,test,0.5,0.015625,3,poly
0.7899065420560747,1.0 / 0.0078125 / 3 / poly,Accuracy,test,1.0,0.0078125,3,poly
0.800373831775701,1.0 / 0.015625 / 3 / poly,Accuracy,test,1.0,0.015625,3,poly
0.7865420560747662,2.0 / 0.0078125 / 3 / poly,Accuracy,test,2.0,0.0078125,3,poly
0.7925233644859813,4.0 / 0.0078125 / 3 / poly,Accuracy,test,4.0,0.0078125,3,poly
0.7899065420560747,8.0 / 0.00390625 / 3 / poly,Accuracy,test,8.0,0.00390625,3,poly
0.800373831775701,8.0 / 0.0078125 / 3 / poly,Accuracy,test,8.0,0.0078125,3,poly
0.7865420560747662,16.0 / 0.00390625 / 3 / poly,Accuracy,test,16.0,0.00390625,3,poly
0.7925233644859813,32.0 / 0.00390625 / 3 / poly,Accuracy,test,32.0,0.00390625,3,poly
0.7899065420560747,64.0 / 0.001953125 / 3 / poly,Accuracy,test,64.0,0.001953125,3,poly
0.800373831775701,64.0 / 0.00390625 / 3 / poly,Accuracy,test,64.0,0.00390625,3,poly
0.7865420560747662,128.0 / 0.001953125 / 3 / poly,Accuracy,test,128.0,0.001953125,3,poly
0.7925233644859813,256.0 / 0.001953125 / 3 / poly,Accuracy,test,256.0,0.001953125,3,poly
0.7899065420560747,512.0 / 0.0009765625 / 3 / poly,Accuracy,test,512.0,0.0009765625,3,poly
0.800373831775701,512.0 / 0.001953125 / 3 / poly,Accuracy,test,512.0,0.001953125,3,poly
0.7865420560747662,1024.0 / 0.0009765625 / 3 / poly,Accuracy,test,1024.0,0.0009765625,3,poly
0.7925233644859813,2048.0 / 0.0009765625 / 3 / poly,Accuracy,test,2048.0,0.0009765625,3,poly
0.7899065420560747,4096.0 / 0.00048828125 / 3 / poly,Accuracy,test,4096.0,0.00048828125,3,poly
0.800373831775701,4096.0 / 0.0009765625 / 3 / poly,Accuracy,test,4096.0,0.0009765625,3,poly
0.7865420560747662,8192.0 / 0.00048828125 / 3 / poly,Accuracy,test,8192.0,0.00048828125,3,poly
0.7925233644859813,16384.0 / 0.00048828125 / 3 / poly,Accuracy,test,16384.0,0.00048828125,3,poly
0.7899065420560747,32768.0 / 0.000244140625 / 3 / poly,Accuracy,test,32768.0,0.000244140625,3,poly
0.800373831775701,32768.0 / 0.00048828125 / 3 / poly,Accuracy,test,32768.0,0.00048828125,3,poly
0.8082610165031646,0.03125 / 0.03125 / 3 / poly,F1,train,0.03125,0.03125,3,poly
0.9042683418092572,0.0625 / 0.03125 / 3 / poly,F1,train,0.0625,0.03125,3,poly
0.6673479648825394,0.125 / 0.015625 / 3 / poly,F1,train,0.125,0.015625,3,poly
0.9697926717034802,0.125 / 0.03125 / 3 / poly,F1,train,0.125,0.03125,3,poly
0.8082610165031646,0.25 / 0.015625 / 3 / poly,F1,train,0.25,0.015625,3,poly
0.9042683418092572,0.5 / 0.015625 / 3 / poly,F1,train,0.5,0.015625,3,poly
