mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,subsample,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
12.292959833145142,0.11253902652372973,0.016356992721557616,0.0007980826009720462,0.06618101782710437,6,0.28343478986616377,8,0.09979877262955549,152,0.44583275285359114,"{'clf__learning_rate': 0.06618101782710437, 'clf__max_depth': 6, 'clf__max_features': 0.28343478986616377, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 0.09979877262955549, 'clf__n_estimators': 152, 'clf__subsample': 0.44583275285359114}",0.794392523364486,0.8130841121495327,0.794392523364486,0.8093457943925234,0.822429906542056,0.8067289719626167,0.010937374832394616,65,0.9649532710280374,0.9616822429906542,0.9658878504672898,0.9588785046728971,0.9574766355140187,0.9617757009345794,0.003283022069205673,0.37499999999999994,0.358974358974359,0.32098765432098764,0.3780487804878049,0.4311377245508982,0.37282970366680995,0.03552841934389393,73,0.9079754601226994,0.8987654320987655,0.9104294478527607,0.8897243107769425,0.8863920099875156,0.8986573321677367,0.009546296677086306
0.1689478874206543,0.014908107927726583,0.014561271667480469,0.0018499359148945278,0.02499623737270043,4,0.9661761457749352,4,0.031430022688291114,180,0.020584494295802447,"{'clf__learning_rate': 0.02499623737270043, 'clf__max_depth': 4, 'clf__max_features': 0.9661761457749352, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 0.031430022688291114, 'clf__n_estimators': 180, 'clf__subsample': 0.020584494295802447}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,162,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040092754364013675,0.0017155345027368252,0.0,0.0,0.15548647782429914,5,1.0385527090157503,2,0.03727374508106509,70,0.6174815096277165,"{'clf__learning_rate': 0.15548647782429914, 'clf__max_depth': 5, 'clf__max_features': 1.0385527090157503, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 0.03727374508106509, 'clf__n_estimators': 70, 'clf__subsample': 0.6174815096277165}",,,,,,,,227,,,,,,,,,,,,,,,232,,,,,,,
10.742754602432251,0.12205705345410231,0.016356754302978515,0.003373402828951458,0.10174797407324213,6,0.5319450186421157,1,0.08871619903875837,64,0.45606998421703593,"{'clf__learning_rate': 0.10174797407324213, 'clf__max_depth': 6, 'clf__max_features': 0.5319450186421157, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 0.08871619903875837, 'clf__n_estimators': 64, 'clf__subsample': 0.45606998421703593}",0.811214953271028,0.8037383177570093,0.788785046728972,0.8018691588785046,0.8130841121495327,0.8037383177570092,0.008606253781847713,94,0.9369158878504673,0.9345794392523364,0.9392523364485982,0.9369158878504673,0.9247663551401869,0.9344859813084112,0.005079505884748127,0.4228571428571428,0.33962264150943394,0.32335329341317365,0.3375,0.4047619047619047,0.36561899650833096,0.04015283491856557,97,0.8271446862996159,0.8181818181818181,0.832904884318766,0.8253557567917206,0.7850467289719627,0.8177267749127767,0.017002740318020522
42.68199400901794,0.09208907842888937,0.01535935401916504,0.0007976534547901151,0.12777639420895204,4,0.4824619912671627,4,0.09886218532930637,180,0.8599404067363206,"{'clf__learning_rate': 0.12777639420895204, 'clf__max_depth': 4, 'clf__max_features': 0.4824619912671627, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 0.09886218532930637, 'clf__n_estimators': 180, 'clf__subsample': 0.8599404067363206}",0.811214953271028,0.8,0.7906542056074767,0.8,0.8186915887850468,0.8041121495327103,0.009776969592988415,85,0.9976635514018691,0.9976635514018691,0.9981308411214953,0.997196261682243,0.9948598130841122,0.9971028037383176,0.0011597825837374343,0.4228571428571428,0.38150289017341044,0.3253012048192771,0.3184713375796178,0.43930635838150295,0.3774877867621902,0.04919840634396411,55,0.9943246311010215,0.9943246311010215,0.9954545454545455,0.9931662870159453,0.9873997709049255,0.9929339731154918,0.0028601576193496366
2.621697521209717,0.04453141819000376,0.013944482803344727,0.0010591239597800626,0.11204613078816694,2,0.16505159298527952,4,0.15133026335272792,63,0.8083973481164611,"{'clf__learning_rate': 0.11204613078816694, 'clf__max_depth': 2, 'clf__max_features': 0.16505159298527952, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 0.15133026335272792, 'clf__n_estimators': 63, 'clf__subsample': 0.8083973481164611}",0.7981308411214953,0.811214953271028,0.8,0.794392523364486,0.8186915887850468,0.8044859813084113,0.00904950911170857,77,0.8658878504672897,0.861214953271028,0.8686915887850467,0.8677570093457944,0.8579439252336448,0.8642990654205607,0.004090853949203603,0.325,0.2733812949640288,0.3096774193548387,0.140625,0.32167832167832167,0.2740724071994379,0.06919009729259155,163,0.5451664025356577,0.5217391304347826,0.5602503912363068,0.5557299843014128,0.5080906148867314,0.5381953046789782,0.020097691688762784
0.07918801307678222,0.002053511739777053,0.013164901733398437,0.0003989220520482712,0.0556920653760056,6,0.330893825622149,7,0.10149949866739313,57,0.034388521115218396,"{'clf__learning_rate': 0.0556920653760056, 'clf__max_depth': 6, 'clf__max_features': 0.330893825622149, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 0.10149949866739313, 'clf__n_estimators': 57, 'clf__subsample': 0.034388521115218396}",0.794392523364486,0.794392523364486,0.7925233644859813,0.7925233644859813,0.7925233644859813,0.7932710280373831,0.000915697100105872,162,0.7929906542056074,0.7929906542056074,0.7934579439252336,0.7934579439252336,0.7934579439252336,0.7932710280373831,0.000228924275026468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.10569658279419,0.1640563556564273,0.0165560245513916,0.001620293751121816,0.14639806031181732,5,0.2822360877880623,4,0.056756661413411645,183,0.20794166286818883,"{'clf__learning_rate': 0.14639806031181732, 'clf__max_depth': 5, 'clf__max_features': 0.2822360877880623, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 0.056756661413411645, 'clf__n_estimators': 183, 'clf__subsample': 0.20794166286818883}",0.7700934579439253,0.7644859813084112,0.7869158878504673,0.8,0.794392523364486,0.783177570093458,0.013735456501587933,198,0.974766355140187,0.9752336448598131,0.9757009345794393,0.9775700934579439,0.974766355140187,0.9756074766355141,0.0010407036192205356,0.41706161137440756,0.29213483146067415,0.40625,0.44559585492227977,0.4210526315789474,0.39641898586726176,0.05370871928859709,16,0.9363207547169811,0.9375736160188457,0.9385342789598109,0.9432624113475178,0.9357142857142856,0.9382810693514883,0.0026761758205131247
0.0534569263458252,0.009066530039226575,0.0,0.0,0.09515504917299872,6,1.0695846277645586,2,0.06927253540027216,63,0.7272719958564209,"{'clf__learning_rate': 0.09515504917299872, 'clf__max_depth': 6, 'clf__max_features': 1.0695846277645586, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 0.06927253540027216, 'clf__n_estimators': 63, 'clf__subsample': 0.7272719958564209}",,,,,,,,245,,,,,,,,,,,,,,,239,,,,,,,
13.282156801223755,0.24841275837789006,0.015620565414428711,1.0726186637117378e-06,0.058981115320875306,7,0.2959828624191452,9,0.15417580365240238,131,0.5396921323890798,"{'clf__learning_rate': 0.058981115320875306, 'clf__max_depth': 7, 'clf__max_features': 0.2959828624191452, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 0.15417580365240238, 'clf__n_estimators': 131, 'clf__subsample': 0.5396921323890798}",0.8205607476635514,0.811214953271028,0.8037383177570093,0.8130841121495327,0.8280373831775701,0.8153271028037382,0.00830882645640857,3,0.947196261682243,0.9425233644859813,0.9485981308411215,0.9392523364485982,0.9429906542056075,0.9441121495327103,0.0033774413083350837,0.4352941176470588,0.35668789808917195,0.378698224852071,0.3421052631578948,0.4457831325301205,0.3917137272552634,0.04166524387341966,22,0.8545688545688545,0.8412903225806452,0.8593350383631714,0.8298429319371728,0.8415584415584415,0.845319117801657,0.010506092185968274
