Result,model_param,Score,type,C,gamma,kernel
0.8686915887850468,0.25 / 0.00390625,Accuracy,train,0.25,0.00390625,linear
0.8686915887850468,0.25 / 0.0078125,Accuracy,train,0.25,0.0078125,linear
0.8686915887850468,0.25 / 0.015625,Accuracy,train,0.25,0.015625,linear
0.8686915887850468,0.25 / 0.03125,Accuracy,train,0.25,0.03125,linear
0.8686915887850468,0.25 / 0.0625,Accuracy,train,0.25,0.0625,linear
0.8686915887850468,0.25 / 0.125,Accuracy,train,0.25,0.125,linear
0.8686915887850468,0.25 / 0.25,Accuracy,train,0.25,0.25,linear
0.8686915887850468,0.25 / 0.5,Accuracy,train,0.25,0.5,linear
0.8686915887850468,0.25 / 1.0,Accuracy,train,0.25,1.0,linear
0.8686915887850468,0.25 / 2.0,Accuracy,train,0.25,2.0,linear
0.8686915887850468,0.25 / 4.0,Accuracy,train,0.25,4.0,linear
0.8686915887850468,0.25 / 8.0,Accuracy,train,0.25,8.0,linear
0.8877570093457944,0.5 / 3.0517578125e-05,Accuracy,train,0.5,3.0517578125e-05,linear
0.8877570093457944,0.5 / 6.103515625e-05,Accuracy,train,0.5,6.103515625e-05,linear
0.8877570093457944,0.5 / 0.0001220703125,Accuracy,train,0.5,0.0001220703125,linear
0.8877570093457944,0.5 / 0.000244140625,Accuracy,train,0.5,0.000244140625,linear
0.8877570093457944,0.5 / 0.00048828125,Accuracy,train,0.5,0.00048828125,linear
0.8877570093457944,0.5 / 0.0009765625,Accuracy,train,0.5,0.0009765625,linear
0.8877570093457944,0.5 / 0.001953125,Accuracy,train,0.5,0.001953125,linear
0.8877570093457944,0.5 / 0.00390625,Accuracy,train,0.5,0.00390625,linear
0.8877570093457944,0.5 / 0.0078125,Accuracy,train,0.5,0.0078125,linear
0.8877570093457944,0.5 / 0.015625,Accuracy,train,0.5,0.015625,linear
0.8877570093457944,0.5 / 0.03125,Accuracy,train,0.5,0.03125,linear
0.8877570093457944,0.5 / 0.0625,Accuracy,train,0.5,0.0625,linear
0.8877570093457944,0.5 / 0.125,Accuracy,train,0.5,0.125,linear
0.8877570093457944,0.5 / 0.25,Accuracy,train,0.5,0.25,linear
0.8877570093457944,0.5 / 0.5,Accuracy,train,0.5,0.5,linear
0.8877570093457944,0.5 / 1.0,Accuracy,train,0.5,1.0,linear
0.8877570093457944,0.5 / 2.0,Accuracy,train,0.5,2.0,linear
0.8877570093457944,0.5 / 4.0,Accuracy,train,0.5,4.0,linear
0.8877570093457944,0.5 / 8.0,Accuracy,train,0.5,8.0,linear
0.9085981308411215,1.0 / 3.0517578125e-05,Accuracy,train,1.0,3.0517578125e-05,linear
0.9085981308411215,1.0 / 6.103515625e-05,Accuracy,train,1.0,6.103515625e-05,linear
0.9085981308411215,1.0 / 0.0001220703125,Accuracy,train,1.0,0.0001220703125,linear
0.9085981308411215,1.0 / 0.000244140625,Accuracy,train,1.0,0.000244140625,linear
0.9085981308411215,1.0 / 0.00048828125,Accuracy,train,1.0,0.00048828125,linear
0.9085981308411215,1.0 / 0.0009765625,Accuracy,train,1.0,0.0009765625,linear
0.9085981308411215,1.0 / 0.001953125,Accuracy,train,1.0,0.001953125,linear
0.9085981308411215,1.0 / 0.00390625,Accuracy,train,1.0,0.00390625,linear
0.9085981308411215,1.0 / 0.0078125,Accuracy,train,1.0,0.0078125,linear
0.9085981308411215,1.0 / 0.015625,Accuracy,train,1.0,0.015625,linear
0.9085981308411215,1.0 / 0.03125,Accuracy,train,1.0,0.03125,linear
0.9085981308411215,1.0 / 0.0625,Accuracy,train,1.0,0.0625,linear
0.9085981308411215,1.0 / 0.125,Accuracy,train,1.0,0.125,linear
0.9085981308411215,1.0 / 0.25,Accuracy,train,1.0,0.25,linear
0.9085981308411215,1.0 / 0.5,Accuracy,train,1.0,0.5,linear
0.9085981308411215,1.0 / 1.0,Accuracy,train,1.0,1.0,linear
0.9085981308411215,1.0 / 2.0,Accuracy,train,1.0,2.0,linear
0.9085981308411215,1.0 / 4.0,Accuracy,train,1.0,4.0,linear
0.9085981308411215,1.0 / 8.0,Accuracy,train,1.0,8.0,linear
0.9283177570093457,2.0 / 3.0517578125e-05,Accuracy,train,2.0,3.0517578125e-05,linear
0.9283177570093457,2.0 / 6.103515625e-05,Accuracy,train,2.0,6.103515625e-05,linear
0.9283177570093457,2.0 / 0.0001220703125,Accuracy,train,2.0,0.0001220703125,linear
0.9283177570093457,2.0 / 0.000244140625,Accuracy,train,2.0,0.000244140625,linear
0.9283177570093457,2.0 / 0.00048828125,Accuracy,train,2.0,0.00048828125,linear
0.9283177570093457,2.0 / 0.0009765625,Accuracy,train,2.0,0.0009765625,linear
0.9283177570093457,2.0 / 0.001953125,Accuracy,train,2.0,0.001953125,linear
0.9283177570093457,2.0 / 0.00390625,Accuracy,train,2.0,0.00390625,linear
0.9283177570093457,2.0 / 0.0078125,Accuracy,train,2.0,0.0078125,linear
0.9283177570093457,2.0 / 0.015625,Accuracy,train,2.0,0.015625,linear
0.9283177570093457,2.0 / 0.03125,Accuracy,train,2.0,0.03125,linear
0.9283177570093457,2.0 / 0.0625,Accuracy,train,2.0,0.0625,linear
0.9283177570093457,2.0 / 0.125,Accuracy,train,2.0,0.125,linear
0.9283177570093457,2.0 / 0.25,Accuracy,train,2.0,0.25,linear
0.9283177570093457,2.0 / 0.5,Accuracy,train,2.0,0.5,linear
0.9283177570093457,2.0 / 1.0,Accuracy,train,2.0,1.0,linear
0.9283177570093457,2.0 / 2.0,Accuracy,train,2.0,2.0,linear
0.9283177570093457,2.0 / 4.0,Accuracy,train,2.0,4.0,linear
0.9283177570093457,2.0 / 8.0,Accuracy,train,2.0,8.0,linear
0.9442990654205607,4.0 / 3.0517578125e-05,Accuracy,train,4.0,3.0517578125e-05,linear
0.9442990654205607,4.0 / 6.103515625e-05,Accuracy,train,4.0,6.103515625e-05,linear
0.9442990654205607,4.0 / 0.0001220703125,Accuracy,train,4.0,0.0001220703125,linear
0.9442990654205607,4.0 / 0.000244140625,Accuracy,train,4.0,0.000244140625,linear
0.9442990654205607,4.0 / 0.00048828125,Accuracy,train,4.0,0.00048828125,linear
0.9442990654205607,4.0 / 0.0009765625,Accuracy,train,4.0,0.0009765625,linear
0.9442990654205607,4.0 / 0.001953125,Accuracy,train,4.0,0.001953125,linear
0.9442990654205607,4.0 / 0.00390625,Accuracy,train,4.0,0.00390625,linear
0.9442990654205607,4.0 / 0.0078125,Accuracy,train,4.0,0.0078125,linear
0.9442990654205607,4.0 / 0.015625,Accuracy,train,4.0,0.015625,linear
0.9442990654205607,4.0 / 0.03125,Accuracy,train,4.0,0.03125,linear
0.9442990654205607,4.0 / 0.0625,Accuracy,train,4.0,0.0625,linear
0.9442990654205607,4.0 / 0.125,Accuracy,train,4.0,0.125,linear
0.9442990654205607,4.0 / 0.25,Accuracy,train,4.0,0.25,linear
0.9442990654205607,4.0 / 0.5,Accuracy,train,4.0,0.5,linear
0.9442990654205607,4.0 / 1.0,Accuracy,train,4.0,1.0,linear
