,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier_train_acc,DummyClassifier_test_acc,DummyClassifier_train_f1,DummyClassifier_test_f1,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,KNeighborsClassifier_train_acc,KNeighborsClassifier_test_acc,KNeighborsClassifier_train_f1,KNeighborsClassifier_test_f1,SVC_train_acc,SVC_test_acc,SVC_train_f1,SVC_test_f1,DecisionTreeClassifier_train_acc,DecisionTreeClassifier_test_acc,DecisionTreeClassifier_train_f1,DecisionTreeClassifier_test_f1,RandomForestClassifier_train_acc,RandomForestClassifier_test_acc,RandomForestClassifier_train_f1,RandomForestClassifier_test_f1,AdaBoostClassifier_train_acc,AdaBoostClassifier_test_acc,AdaBoostClassifier_train_f1,AdaBoostClassifier_test_f1,GradientBoostingClassifier_train_acc,GradientBoostingClassifier_test_acc,GradientBoostingClassifier_train_f1,GradientBoostingClassifier_test_f1,GaussianNB_train_acc,GaussianNB_test_acc,GaussianNB_train_f1,GaussianNB_test_f1
16,popular_hr_6,3,True,True,True,True,True,True,True,0.818,0.818,0.0,0.0,0.904,0.903,0.672,0.67,0.96,0.945,0.885,0.841,0.864,0.863,0.419,0.41,1.0,0.915,1.0,0.766,1.0,0.958,1.0,0.876,0.906,0.903,0.706,0.698,0.934,0.922,0.795,0.756,,,,
17,popular_hr_6,3,True,True,True,True,False,True,False,0.818,0.818,0.0,0.0,0.904,0.903,0.672,0.67,0.96,0.945,0.885,0.841,0.864,0.863,0.419,0.41,1.0,0.915,1.0,0.766,1.0,0.958,1.0,0.876,0.906,0.903,0.706,0.698,0.934,0.922,0.795,0.756,,,,
18,popular_hr_6,3,True,True,True,True,True,False,False,0.818,0.818,0.0,0.0,0.904,0.903,0.672,0.67,0.96,0.945,0.885,0.841,0.864,0.863,0.419,0.41,1.0,0.915,1.0,0.766,1.0,0.958,1.0,0.876,0.906,0.903,0.706,0.698,0.934,0.922,0.795,0.756,,,,
19,popular_hr_6,3,True,True,True,False,False,False,False,0.818,0.818,0.0,0.0,0.904,0.903,0.672,0.67,0.96,0.945,0.885,0.841,0.864,0.863,0.419,0.41,1.0,0.915,1.0,0.766,1.0,0.958,1.0,0.876,0.906,0.903,0.706,0.698,0.934,0.922,0.795,0.756,,,,
20,popular_hr_6,6,True,True,True,True,True,True,True,0.82,0.82,0.0,0.0,0.891,0.889,0.605,0.596,0.929,0.882,0.773,0.598,0.836,0.836,0.173,0.173,1.0,0.875,1.0,0.652,1.0,0.921,1.0,0.748,0.898,0.889,0.666,0.636,0.925,0.904,0.755,0.682,,,,
21,popular_hr_6,6,True,True,True,True,False,True,False,0.82,0.82,0.0,0.0,0.891,0.889,0.605,0.596,0.929,0.882,0.773,0.598,0.836,0.836,0.173,0.173,1.0,0.875,1.0,0.652,1.0,0.921,1.0,0.748,0.898,0.889,0.666,0.636,0.925,0.904,0.755,0.682,,,,
22,popular_hr_6,6,True,True,True,True,True,False,False,0.82,0.82,0.0,0.0,0.891,0.889,0.605,0.596,0.929,0.882,0.773,0.598,0.836,0.836,0.173,0.173,1.0,0.875,1.0,0.652,1.0,0.921,1.0,0.748,0.898,0.889,0.666,0.636,0.925,0.904,0.755,0.682,,,,
23,popular_hr_6,6,True,True,True,False,False,False,False,0.82,0.82,0.0,0.0,0.891,0.889,0.605,0.596,0.929,0.882,0.773,0.598,0.836,0.836,0.173,0.173,1.0,0.875,1.0,0.652,1.0,0.921,1.0,0.748,0.898,0.889,0.666,0.636,0.925,0.904,0.755,0.682,,,,
24,popular_hr_24,0,True,True,True,True,True,True,True,0.815,0.815,0.0,0.0,0.832,0.823,0.254,0.224,0.852,0.81,0.423,0.251,0.815,0.815,0.0,0.0,1.0,0.744,1.0,0.348,1.0,0.821,1.0,0.221,0.842,0.81,0.376,0.264,0.902,0.811,0.64,0.254,,,,
25,popular_hr_24,0,True,True,True,True,False,True,False,0.815,0.815,0.0,0.0,0.832,0.823,0.254,0.224,0.852,0.81,0.423,0.251,0.815,0.815,0.0,0.0,1.0,0.744,1.0,0.348,1.0,0.821,1.0,0.221,0.842,0.81,0.376,0.264,0.902,0.811,0.64,0.254,,,,
