mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,coef0,degree,gamma,kernel,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0.0940086841583252,0.016533322578724894,0.019579172134399414,0.003327669039053148,0.03125,0,3,3.0517578125e-05,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 3.0517578125e-05, 'clf__kernel': 'poly'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,695,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,633,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
0.12251486778259277,0.03159576247407527,0.02049989700317383,0.00148811193650444,0.03125,0,3,0.0001220703125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.0001220703125, 'clf__kernel': 'poly'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,695,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,633,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
0.08435773849487305,0.011239923355175282,0.020792436599731446,0.006364478735224369,0.03125,0,3,0.00048828125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.00048828125, 'clf__kernel': 'poly'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,695,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,633,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
0.07717132568359375,0.0031260619289370313,0.016887617111206055,0.0009228015962332412,0.03125,0,3,0.001953125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.001953125, 'clf__kernel': 'poly'}",0.7820895522388059,0.7820895522388059,0.2208955223880597,0.2208955223880597,0.218562874251497,0.4449066047010456,0.2753100414196303,695,0.7804331590739357,0.7804331590739357,0.21882001493651979,0.21882001493651979,0.21940298507462686,0.4435818666191076,0.27503801094797126,0.0,0.0,0.36185819070904646,0.36185819070904646,0.35872235872235875,0.21648774802809032,0.1767652147807437,633,0.0,0.0,0.3590686274509804,0.3590686274509804,0.3598531211750306,0.21559807521539825,0.1760353243389238
0.0842480182647705,0.0034417328597176984,0.020488166809082033,0.0021975732741532686,0.03125,0,3,0.0078125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.0078125, 'clf__kernel': 'poly'}",0.7820895522388059,0.7910447761194029,0.7791044776119403,0.7761194029850746,0.781437125748503,0.7819590669407454,0.005001797989755265,156,0.7819268110530246,0.7826736370425691,0.7826736370425691,0.7834204630321135,0.7820895522388059,0.7825568200818165,0.0005269577143771091,0.0,0.07894736842105263,0.0,0.0,0.0,0.015789473684210527,0.03157894736842106,896,0.013513513513513513,0.020202020202020204,0.013559322033898305,0.02027027027027027,0.013513513513513513,0.016211727906643162,0.00328603644095
0.07875828742980957,0.0038726701715876203,0.01679573059082031,0.001168900577822818,0.03125,0,3,0.03125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.03125, 'clf__kernel': 'poly'}",0.7910447761194029,0.7970149253731343,0.7850746268656716,0.7761194029850746,0.781437125748503,0.7861381714183573,0.00729363043498127,91,0.7879014189693802,0.7871545929798357,0.7886482449589246,0.7908887229275579,0.7888059701492537,0.7886797899969904,0.0012512704431702768,0.07894736842105263,0.1282051282051282,0.052631578947368425,0.07407407407407408,0.0,0.06677162992952466,0.04155488085387875,846,0.07189542483660132,0.06557377049180328,0.07213114754098361,0.08496732026143791,0.07817589576547229,0.07454871177925969,0.00655954245255438
0.07635746002197266,0.0026577659517269367,0.01899275779724121,0.0022748749453374174,0.03125,0,3,0.125,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.125, 'clf__kernel': 'poly'}",0.8,0.7970149253731343,0.7940298507462686,0.7701492537313432,0.7904191616766467,0.7903226383054786,0.01057502928204736,16,0.7953696788648245,0.7968633308439134,0.79462285287528,0.8005974607916355,0.7962686567164179,0.7967443960184142,0.0020725527295281584,0.2117647058823529,0.20930232558139533,0.18823529411764708,0.15384615384615383,0.07894736842105263,0.16841916956972036,0.04931637201552788,770,0.16463414634146342,0.2046783625730994,0.18397626112759646,0.23054755043227665,0.18991097922848665,0.1947494599405845,0.022029485748769794
0.08548121452331543,0.0033002019166006825,0.015363931655883789,0.0013049189043912233,0.03125,0,3,0.5,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 0.5, 'clf__kernel': 'poly'}",0.746268656716418,0.7343283582089553,0.7791044776119403,0.7582089552238805,0.7574850299401198,0.7550790955402629,0.014839275303917434,177,0.8319641523525019,0.8633308439133682,0.8401792382374906,0.8439133681852129,0.8440298507462687,0.8446834906869685,0.010303533122042829,0.40559440559440557,0.3407407407407407,0.4032258064516129,0.25688073394495414,0.4563758389261745,0.37256350513157754,0.06848491262550345,189,0.6017699115044248,0.6654478976234004,0.6037037037037036,0.5925925925925926,0.6165137614678898,0.6160055733784022,0.025872608749957962
0.14856181144714356,0.009060779901570264,0.013173389434814452,0.0009902037488487214,0.03125,0,3,2.0,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 2.0, 'clf__kernel': 'poly'}",0.6447761194029851,0.6358208955223881,0.7104477611940299,0.6597014925373135,0.6916167664670658,0.6684726070247564,0.028291892558893264,437,0.9185959671396564,0.9215832710978342,0.9081404032860344,0.9230769230769231,0.917910447761194,0.9178614024723284,0.005217159708371058,0.304093567251462,0.30681818181818177,0.389937106918239,0.2875,0.3522012578616352,0.3281100227699036,0.03763584068062044,386,0.8385185185185186,0.8435171385991058,0.8193832599118943,0.8455772113943029,0.8353293413173652,0.8364650939482374,0.009274239145701054
0.15375299453735353,0.008711015977595448,0.011301660537719726,0.0010825478020803523,0.03125,0,3,8.0,poly,"{'clf__C': 0.03125, 'clf__coef0': 0, 'clf__degree': 3, 'clf__gamma': 8.0, 'clf__kernel': 'poly'}",0.6626865671641791,0.6537313432835821,0.7134328358208956,0.6776119402985075,0.6736526946107785,0.6762230762355885,0.020406945594593533,375,0.9783420463032113,0.9798356982823002,0.9835698282300224,0.9850634802091113,0.9768656716417911,0.9807353449332872,0.003107367514072877,0.31515151515151507,0.3333333333333333,0.37662337662337664,0.29870129870129863,0.33939393939393936,0.3326406926406926,0.026223334545329345,356,0.9515859766277128,0.9555189456342669,0.9630872483221478,0.9663299663299664,0.9489291598023064,0.95709025934328,0.006643880834500057
