,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier,DummyClassifier_f1,DummyClassifier_precision,DummyClassifier_recall,DummyClassifier_roc_auc,LogisticRegression,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_roc_auc,KNeighborsClassifier,KNeighborsClassifier_f1,KNeighborsClassifier_precision,KNeighborsClassifier_recall,KNeighborsClassifier_roc_auc,SVC,SVC_f1,SVC_precision,SVC_recall,SVC_roc_auc,DecisionTreeClassifier,DecisionTreeClassifier_f1,DecisionTreeClassifier_precision,DecisionTreeClassifier_recall,DecisionTreeClassifier_roc_auc,RandomForestClassifier,RandomForestClassifier_f1,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_roc_auc,AdaBoostClassifier,AdaBoostClassifier_f1,AdaBoostClassifier_precision,AdaBoostClassifier_recall,AdaBoostClassifier_roc_auc,GradientBoostingClassifier,GradientBoostingClassifier_f1,GradientBoostingClassifier_precision,GradientBoostingClassifier_recall,GradientBoostingClassifier_roc_auc,GaussianNB,GaussianNB_f1,GaussianNB_precision,GaussianNB_recall,GaussianNB_roc_auc
12,popular_hr_6,0,True,True,True,True,True,True,True,0.779,0.0,0.0,0.0,0.5,0.728,0.319,0.357,0.288,0.57,0.698,0.311,0.314,0.308,0.558,0.779,0.0,0.0,0.0,0.5,0.685,0.339,0.317,0.365,0.571,0.779,0.0,0.0,0.0,0.5,0.749,0.392,0.422,0.365,0.612,0.791,0.329,0.571,0.231,0.591,0.655,0.441,0.344,0.615,0.641
13,popular_hr_6,0,True,True,True,True,False,True,False,0.779,0.0,0.0,0.0,0.5,0.732,0.292,0.351,0.25,0.559,0.698,0.253,0.279,0.231,0.531,0.779,0.0,0.0,0.0,0.5,0.689,0.305,0.302,0.308,0.553,0.783,0.038,1.0,0.019,0.51,0.736,0.34,0.381,0.308,0.583,0.787,0.324,0.545,0.231,0.588,0.647,0.428,0.333,0.596,0.629
14,popular_hr_6,0,True,True,True,True,True,False,False,0.779,0.0,0.0,0.0,0.5,0.804,0.303,0.714,0.192,0.585,0.753,0.326,0.412,0.269,0.58,0.779,0.0,0.0,0.0,0.5,0.723,0.316,0.349,0.288,0.568,0.804,0.303,0.714,0.192,0.585,0.774,0.346,0.483,0.269,0.594,0.8,0.299,0.667,0.192,0.582,0.651,0.339,0.292,0.404,0.563
15,popular_hr_6,0,True,True,True,False,False,False,False,0.779,0.0,0.0,0.0,0.5,0.809,0.308,0.769,0.192,0.588,0.749,0.253,0.37,0.192,0.55,0.779,0.0,0.0,0.0,0.5,0.719,0.353,0.36,0.346,0.586,0.791,0.29,0.588,0.192,0.577,0.783,0.32,0.522,0.231,0.585,0.796,0.314,0.611,0.212,0.587,0.664,0.347,0.304,0.404,0.571
16,popular_hr_6,3,True,True,True,True,True,True,True,0.819,0.0,0.0,0.0,0.5,0.965,0.9,0.941,0.861,0.925,0.971,0.919,0.929,0.909,0.947,0.819,0.0,0.0,0.0,0.5,0.94,0.835,0.825,0.845,0.903,0.974,0.924,0.975,0.877,0.936,0.944,0.837,0.876,0.801,0.888,0.957,0.871,0.945,0.808,0.899,0.742,0.55,0.402,0.871,0.792
17,popular_hr_6,3,True,True,True,True,False,True,False,0.819,0.0,0.0,0.0,0.5,0.951,0.853,0.933,0.785,0.886,0.97,0.917,0.926,0.909,0.946,0.819,0.0,0.0,0.0,0.5,0.959,0.886,0.891,0.88,0.928,0.978,0.938,0.97,0.909,0.951,0.937,0.816,0.868,0.77,0.872,0.957,0.873,0.945,0.811,0.9,0.821,0.62,0.503,0.808,0.816
18,popular_hr_6,3,True,True,True,True,True,False,False,0.819,0.0,0.0,0.0,0.5,0.905,0.673,0.887,0.543,0.764,0.956,0.875,0.9,0.852,0.915,0.865,0.415,0.955,0.265,0.631,0.909,0.757,0.735,0.779,0.859,0.956,0.871,0.932,0.817,0.902,0.899,0.688,0.775,0.618,0.789,0.914,0.731,0.84,0.647,0.81,0.87,0.625,0.653,0.599,0.765
19,popular_hr_6,3,True,True,True,False,False,False,False,0.819,0.0,0.0,0.0,0.5,0.903,0.665,0.885,0.533,0.759,0.949,0.853,0.893,0.817,0.898,0.867,0.426,0.956,0.274,0.636,0.912,0.762,0.746,0.779,0.86,0.956,0.87,0.935,0.814,0.901,0.903,0.7,0.795,0.625,0.795,0.913,0.731,0.831,0.653,0.812,0.87,0.626,0.652,0.603,0.766
20,popular_hr_6,6,True,True,True,True,True,True,True,0.829,0.0,0.0,0.0,0.5,0.927,0.775,0.812,0.742,0.853,0.945,0.835,0.849,0.821,0.896,0.829,0.0,0.0,0.0,0.5,0.898,0.726,0.672,0.788,0.855,0.949,0.834,0.942,0.748,0.869,0.911,0.725,0.765,0.689,0.823,0.941,0.814,0.884,0.755,0.867,0.785,0.578,0.435,0.861,0.815
21,popular_hr_6,6,True,True,True,True,False,True,False,0.829,0.0,0.0,0.0,0.5,0.931,0.784,0.841,0.735,0.853,0.922,0.782,0.747,0.821,0.882,0.829,0.0,0.0,0.0,0.5,0.908,0.744,0.711,0.781,0.858,0.959,0.875,0.92,0.834,0.91,0.925,0.777,0.793,0.762,0.86,0.941,0.814,0.884,0.755,0.867,0.829,0.597,0.5,0.742,0.795
22,popular_hr_6,6,True,True,True,True,True,False,False,0.829,0.0,0.0,0.0,0.5,0.896,0.6,0.873,0.457,0.722,0.918,0.742,0.795,0.695,0.829,0.842,0.157,0.867,0.086,0.542,0.888,0.684,0.66,0.709,0.817,0.927,0.755,0.877,0.662,0.822,0.893,0.639,0.75,0.556,0.759,0.91,0.695,0.82,0.603,0.788,0.87,0.588,0.641,0.543,0.74
23,popular_hr_6,6,True,True,True,False,False,False,False,0.829,0.0,0.0,0.0,0.5,0.897,0.603,0.885,0.457,0.722,0.913,0.722,0.794,0.662,0.813,0.845,0.189,0.889,0.106,0.552,0.871,0.632,0.616,0.649,0.783,0.931,0.778,0.863,0.709,0.843,0.905,0.682,0.796,0.596,0.782,0.908,0.682,0.837,0.576,0.776,0.868,0.584,0.631,0.543,0.739
